en,enResult,cn,cnResult,detail
Enshi Tujia And Miao Autonomous Prefecture,216,恩施土家族苗族自治州,0,Enshi Tujia And Miao Autonomous Prefecture 有 恩施土家族苗族自治州 没有的结果: 11710，11601，11820，11819，11813，11812，11805，11779，11772，11761，11760，11758，11757，11756，11755，11754，11753，11752，11751，11750，11748，11747，11746，11745，11743，11742，11741，11740，11739，11738，11737，11732，11730，11728，11726，11724，11722，11721，11720，11719，11718，11717，11716，11715，11714，11713，11712，11711，11709，11708，11707，11692，11691，11690，11687，11686，11684，11678，11677，11676，11673，11671，11657，11651，11650，11649，11646，11645，11644，11643，11642，11635，11631，11628，11627，11624，11621，11617，11616，11615，11612，11609，11598，11597，11596，11595，11594，11593，11591，11590，11582，11577，11576，11575，11574，11565，11564，11563，11562，11561，11560，11559，11558，11556，11553，11552，11548，11545，11540，11539，11537，11530，11529，11528，11527，11526，11525，11524，11523，11522，11521，11506，11505，11504，11500，11496，11486，11485，11479，11473，11443，11442，11436，11435，11434，11433，11432，11431，11430，11429，11428，11427，11426，11425，11424，11423，11422，11421，11420，11419，11418，11417，11416，11413，11412，11410，11409，11408，11404，11402，11400，11399，11398，11397，11396，11395，11393，11392，11391，11385，11384，11383，11381，11379，11376，11375，11373，11371，11370，11369，11368，11367，11366，11365，11354，11353，11351，11350，11349，11348，11347，11346，11343，11342，11336，11294，11842，11839，11838，11835，11826，11821，11672，11620，11600，11592，11827，11630，11587，11822，11619，11542，11512，11494，11798，11513
Suzhou,3,宿州市,1,Suzhou 有 宿州市 没有的结果: 11765，11769
Lingshui Li Autonomous County,2,陵水黎族自治县,0,Lingshui Li Autonomous County 有 陵水黎族自治县 没有的结果: 11814，11513
Baisha Li Autonomous County,2,白沙黎族自治县,0,Baisha Li Autonomous County 有 白沙黎族自治县 没有的结果: 11814，11513
Baoting Li And Miao Autonomous County,2,保亭黎族苗族自治县,0,Baoting Li And Miao Autonomous County 有 保亭黎族苗族自治县 没有的结果: 11814，11513
Changjiang Li Autonomous County,2,昌江黎族自治县,0,Changjiang Li Autonomous County 有 昌江黎族自治县 没有的结果: 11814，11513
Qiongzhong Li And Miao Autonomous County,2,琼中黎族苗族自治县,0,Qiongzhong Li And Miao Autonomous County 有 琼中黎族苗族自治县 没有的结果: 11814，11513
Daxing'Anling Area,0,大兴安岭地区,1,大兴安岭地区 有 Daxing'Anling Area 没有的结果: 11727
Hong Kong,0,香港,324,香港 有 Hong Kong 没有的结果: 11820，11819，11813，11812，11810，11808，11805，11800，11794，11790，11789，11788，11787，11786，11785，11784，11783，11782，11781，11780，11779，11778，11776，11775，11774，11773，11772，11771，11770，11768，11767，11766，11765，11764，11763，11762，11761，11760，11758，11757，11756，11755，11754，11753，11752，11751，11750，11748，11747，11746，11745，11744，11743，11742，11741，11740，11739，11738，11737，11732，11731，11730，11728，11727，11726，11724，11723，11722，11721，11720，11719，11718，11717，11716，11715，11714，11713，11712，11711，11710，11709，11708，11707，11702，11701，11700，11699，11698，11697，11696，11695，11694，11693，11692，11691，11690，11688，11687，11686，11684，11678，11677，11676，11673，11671，11657，11651，11650，11649，11646，11645，11644，11643，11642，11637，11635，11633，11631，11630，11628，11627，11624，11623，11621，11619，11617，11616，11615，11613，11612，11609，11601，11598，11597，11596，11595，11594，11593，11591，11590，11589，11587，11586，11585，11584，11583，11582，11581，11580，11579，11578，11577，11576，11575，11574，11573，11572，11570，11569，11568，11567，11566，11565，11564，11563，11562，11561，11560，11559，11558，11557，11556，11554，11553，11552，11551，11549，11548，11547，11545，11544，11543，11542，11541，11540，11539，11538，11537，11536，11535，11534，11530，11529，11528，11527，11526，11525，11524，11523，11522，11521，11513，11512，11510，11509，11506，11505，11504，11503，11502，11500，11496，11495，11494，11493，11486，11485，11482，11479，11473，11443，11442，11436，11435，11434，11433，11432，11431，11430，11429，11428，11427，11426，11425，11424，11423，11422，11421，11420，11419，11418，11417，11416，11413，11412，11411，11410，11409，11408，11404，11402，11400，11399，11398，11397，11396，11395，11393，11392，11391，11385，11384，11383，11381，11379，11377，11376，11375，11374，11373，11371，11370，11369，11368，11367，11366，11365，11354，11353，11351，11350，11349，11348，11347，11346，11345，11343，11342，11336，11294，11842，11839，11838，11836，11835，11832，11830，11826，11823，11822，11821，11815，11814，11811，11798，11795，11793，11792，11791，11777，11769，11759，11682，11681，11672，11620，11610，11600，11592，11588，11571，11501，11824，11827
Macao,0,澳门,324,澳门 有 Macao 没有的结果: 11820，11819，11813，11812，11810，11808，11805，11800，11794，11790，11789，11788，11787，11786，11785，11784，11783，11782，11781，11780，11779，11778，11776，11775，11774，11773，11772，11771，11770，11768，11767，11766，11765，11764，11763，11762，11761，11760，11758，11757，11756，11755，11754，11753，11752，11751，11750，11748，11747，11746，11745，11744，11743，11742，11741，11740，11739，11738，11737，11732，11731，11730，11728，11727，11726，11724，11723，11722，11721，11720，11719，11718，11717，11716，11715，11714，11713，11712，11711，11710，11709，11708，11707，11702，11701，11700，11699，11698，11697，11696，11695，11694，11693，11692，11691，11690，11688，11687，11686，11684，11678，11677，11676，11673，11671，11657，11651，11650，11649，11646，11645，11644，11643，11642，11637，11635，11633，11631，11630，11628，11627，11624，11623，11621，11619，11617，11616，11615，11613，11612，11609，11601，11598，11597，11596，11595，11594，11593，11591，11590，11589，11587，11586，11585，11584，11583，11582，11581，11580，11579，11578，11577，11576，11575，11574，11573，11572，11570，11569，11568，11567，11566，11565，11564，11563，11562，11561，11560，11559，11558，11557，11556，11554，11553，11552，11551，11549，11548，11547，11545，11544，11543，11542，11541，11540，11539，11538，11537，11536，11535，11534，11530，11529，11528，11527，11526，11525，11524，11523，11522，11521，11513，11512，11510，11509，11506，11505，11504，11503，11502，11500，11496，11495，11494，11493，11486，11485，11482，11479，11473，11443，11442，11436，11435，11434，11433，11432，11431，11430，11429，11428，11427，11426，11425，11424，11423，11422，11421，11420，11419，11418，11417，11416，11413，11412，11411，11410，11409，11408，11404，11402，11400，11399，11398，11397，11396，11395，11393，11392，11391，11385，11384，11383，11381，11379，11377，11376，11375，11374，11373，11371，11370，11369，11368，11367，11366，11365，11354，11353，11351，11350，11349，11348，11347，11346，11345，11343，11342，11336，11294，11842，11839，11838，11836，11835，11832，11830，11826，11823，11822，11821，11815，11814，11811，11798，11795，11793，11792，11791，11777，11769，11759，11682，11681，11672，11620，11610，11600，11592，11588，11571，11501，11824，11827
Arkansas,1,阿肯色州,0,Arkansas 有 阿肯色州 没有的结果: 11636
District of Columbia,1,哥伦比亚特区,0,District of Columbia 有 哥伦比亚特区 没有的结果: 11736
North Carolina,13,北卡罗来纳州,12,North Carolina 有 北卡罗来纳州 没有的结果: 11636
Nebraska,1,内布拉斯加州,14,Nebraska 有 内布拉斯加州 没有的结果: 11636
Nebraska,1,内布拉斯加州,14,内布拉斯加州 有 Nebraska 没有的结果: 11663，11658，11656，11622，11489，11487，11477，11472，11471，11389，11387，11363，11478，11390
Rhode Island,1,罗德岛州,0,Rhode Island 有 罗德岛州 没有的结果: 11636
Washington,1,华盛顿州,0,Washington 有 华盛顿州 没有的结果: 11508
