en,enResult,cn,cnResult,detail
Enshi Tujia And Miao Autonomous Prefecture,161,恩施土家族苗族自治州,0,Enshi Tujia And Miao Autonomous Prefecture 有 恩施土家族苗族自治州 没有的结果,573516，573515，572114，573507，573506，573499，573493，573492，573486，573479，573330，573327，573326，573305，573291，573284，573276，573273，573270，573269，573267，573266，573263，573262，573260，573256，573252，573251，573247，573244，573232，573226，573225，573224，573223，573221，573220，573210，573202，573200，573198，573197，573196，573193，573192，573191，573190，573189，573188，573186，573185，573183，573181，573179，573178，573176，573175，573174，573128，573099，573098，573097，573093，573091，573089，573088，573086，573082，573081，573080，573079，573063，573015，572858，572854，572830，572810，572807，572802，572800，572799，572797，572796，572795，572794，572793，572792，572791，572790，572789，572783，572756，572755，572754，572752，572751，572748，572747，572746，572745，572743，572741，572740，572739，572738，572737，572736，572735，572734，572733，572732，572727，572723，572721，572722，572719，572718，572710，572709，572708，572699，572691，542642，573523，573522，573607，573495，573187，573177，572864，572851，573573，573538，573537，573535，573527，573555，573358，572829，572687，161771，573594，573586，573542，573529，573268，573170，549795，572125，572124，543515，573632，573631，573629，573628，573581，573559，573309，572694，573637，573640
Shijiazhuang,2,石家庄市,0,Shijiazhuang 有 石家庄市 没有的结果,573369，573240
Shaoxing,1,绍兴市,2,绍兴市 有 Shaoxing 没有的结果,572707
Suzhou,4,宿州市,0,Suzhou 有 宿州市 没有的结果,572837，572826，573617，573023
Shanghai,92,上海市,92,Shanghai 有 上海市 没有的结果,573279
Shanghai,92,上海市,92,上海市 有 Shanghai 没有的结果,573382
Lingshui Li Autonomous County,1,陵水黎族自治县,0,Lingshui Li Autonomous County 有 陵水黎族自治县 没有的结果,573340
Baisha Li Autonomous County,1,白沙黎族自治县,0,Baisha Li Autonomous County 有 白沙黎族自治县 没有的结果,573340
Baoting Li And Miao Autonomous County,1,保亭黎族苗族自治县,0,Baoting Li And Miao Autonomous County 有 保亭黎族苗族自治县 没有的结果,573340
Changjiang Li Autonomous County,1,昌江黎族自治县,0,Changjiang Li Autonomous County 有 昌江黎族自治县 没有的结果,573340
Qiongzhong Li And Miao Autonomous County,1,琼中黎族苗族自治县,0,Qiongzhong Li And Miao Autonomous County 有 琼中黎族苗族自治县 没有的结果,573340
Beijing,47,北京市,46,Beijing 有 北京市 没有的结果,573565
Daxing'Anling Area,0,大兴安岭地区,5,大兴安岭地区 有 Daxing'Anling Area 没有的结果,573447，573359，573265，572853，573543
Alax League,0,阿拉善盟,5,阿拉善盟 有 Alax League 没有的结果,573564，573312，573216，572701，572682
Hong Kong,4,香港,512,香港 有 Hong Kong 没有的结果,573520，573519，572120，572119，573518，573517，573516，573515，573514，573513，572114，572113，573511，573510，573509，573508，573507，573506，573501，573499，573494，573493，573492，573491，573490，572112，573486，572111，573480，573479，573478，573477，573476，573470，573469，573457，573456，573455，573454，573453，573452，573451，573450，573449，573448，573447，573446，573445，573444，573443，573442，573441，573440，573439，573438，573437，573436，573431，573427，573426，573424，573422，573420，573419，573418，573415，573414，573413，573409，573403，573401，573400，573399，573398，573397，573396，573394，573393，573392，573391，573390，573389，573388，573387，573384，573382，573381，573380，573379，573378，573368，573365，573364，573363，573361，573359，573357，573355，573354，573353，573351，573350，573349，573347，573346，573345，573344，573343，573342，573340，573336，573335，573334，573330，573329，573327，573326，573306，573305，573304，573302，573301，573298，573297，573296，573295，573293，573291，573290，573287，573284，573281，573280，573278，573277，573276，573273，573272，573271，573270，573269，573267，573266，573265，573264，573263，573262，573260，573259，573257，573256，573255，573254，572106，573253，573252，573251，573250，573248，573247，573245，573244，573243，573240，573238，573236，573235，573233，573232，573231，573230，573229，573228，573227，573226，573225，573224，573223，573222，573221，573220，573218，573216，573214，573211，573210，573209，573208，573207，573205，573204，573203，573202，573201，573200，573199，573198，573197，573196，573195，573194，573193，573192，573191，573190，573189，573188，573186，573185，573184，573183，573182，573181，573179，573178，573176，573175，573174，573171，573162，573161，573128，573126，573109，573108，573107，573106，573105，573101，573099，573098，573097，573094，573093，573092，573091，573090，573089，573088，573086，573084，573082，573081，573080，573079，573075，573072，573070，573067，573066，573064，573063，573062，573032，573031，573030，573029，573028，573027，573026，573025，573024，573023，573021，573019，573015，573014，573012，573011，573002，573001，572978，572967，572959，572863，572860，572859，572858，572856，572855，572854，572853，572852，572850，572849，572848，572847，572846，572845，572844，572842，572840，572839，572837，572830，572828，572827，572826，572810，572807，572802，572800，572799，572798，572797，572796，572795，572794，572793，572792，572791，572790，572789，572788，572787，572786，572785，572784，572783，572782，572781，572780，572777，572778，572760，572756，572755，572754，572752，572751，572750，572749，572748，572747，572746，572745，572743，572742，572741，572740，572739，572738，572737，572736，572735，572734，572733，572732，572731，572730，572728，572729，572727，572726，572725，572724，572723，572721，572722，572720，572719，572718，572717，572714，572715，572713，572716，572712，572711，572710，572709，572708，572707，572706，572702，572701，572700，572699，572696，572691，572689，572682，572681，572680，572678，557729，542642，573526，573523，573522，573525，573634，573633，573607，573606，573566，573565，573564，573563，573561，573524，573495，573328，573187，573177，573169，573022，572864，572851，573636，573619，573618，573590，573573，573569，573538，573537，573536，573535，573362，79989，573604，573603，573600，573599，573598，573597，573552，573551，573550，573549，573528，573527，573617，573615，573612，573611，573610，573609，573608，573558，573556，573555，573554，573358，572829，572687，572676，161771，573624，573621，573594，573589，573586，573584，573548，573546，573545，573544，573543，573542，573529，573268，573170，549795，573627，573626，572146，573625，573622，573591，573574，573571，573570，573541，573540，572125，572124，573539，573530，573258，543515，573632，572161，572160，573631，572159，572157，572151，573629，573628，572150，573593，573592，573581，573559，573557，573369，573312，573309，573303，572092，572090，572841，572694，572683，573637，573640
Macao,0,澳门,512,澳门 有 Macao 没有的结果,573520，573519，572120，572119，573518，573517，573516，573515，573514，573513，572114，572113，573511，573510，573509，573508，573507，573506，573501，573499，573494，573493，573492，573491，573490，572112，573486，572111，573480，573479，573478，573477，573476，573470，573469，573457，573456，573455，573454，573453，573452，573451，573450，573449，573448，573447，573446，573445，573444，573443，573442，573441，573440，573439，573438，573437，573436，573431，573427，573426，573424，573422，573420，573419，573418，573415，573414，573413，573410，573409，573406，573403，573402，573401，573400，573399，573398，573397，573396，573394，573393，573392，573391，573390，573389，573388，573387，573384，573382，573381，573380，573379，573378，573368，573365，573364，573363，573361，573359，573357，573355，573354，573353，573351，573350，573349，573347，573346，573345，573344，573343，573342，573340，573336，573335，573334，573330，573329，573327，573326，573306，573305，573304，573302，573301，573298，573297，573296，573295，573293，573291，573290，573287，573284，573281，573280，573278，573277，573276，573273，573272，573271，573270，573269，573267，573266，573265，573264，573263，573262，573260，573259，573257，573256，573255，573254，572106，573253，573252，573251，573250，573248，573247，573245，573244，573243，573240，573238，573236，573235，573233，573232，573231，573230，573229，573228，573227，573226，573225，573224，573223，573222，573221，573220，573218，573216，573214，573211，573210，573209，573208，573207，573205，573204，573203，573202，573201，573200，573199，573198，573197，573196，573195，573194，573193，573192，573191，573190，573189，573188，573186，573185，573184，573183，573182，573181，573179，573178，573176，573175，573174，573171，573162，573161，573128，573126，573109，573108，573107，573106，573105，573101，573099，573098，573097，573094，573093，573092，573091，573090，573089，573088，573086，573084，573082，573081，573080，573079，573075，573072，573070，573067，573066，573064，573063，573062，573032，573031，573030，573029，573028，573027，573026，573025，573024，573023，573021，573019，573015，573014，573012，573011，573002，573001，572978，572967，572959，572863，572860，572859，572858，572856，572855，572854，572853，572852，572850，572849，572848，572847，572846，572845，572844，572842，572840，572839，572837，572830，572828，572827，572826，572810，572807，572802，572800，572799，572798，572797，572796，572795，572794，572793，572792，572791，572790，572789，572788，572787，572786，572785，572784，572783，572782，572781，572780，572777，572778，572760，572756，572755，572754，572752，572751，572750，572749，572748，572747，572746，572745，572743，572742，572741，572740，572739，572738，572737，572736，572735，572734，572733，572732，572731，572730，572728，572729，572727，572726，572725，572724，572723，572721，572722，572720，572719，572718，572717，572714，572715，572713，572716，572712，572711，572710，572709，572708，572707，572706，572702，572701，572700，572699，572696，572691，572689，572682，572681，572680，572678，557729，542642，573526，573523，573522，573525，573634，573633，573607，573606，573566，573565，573564，573563，573561，573524，573495，573328，573187，573177，573169，573022，572864，572851，573636，573619，573618，573590，573573，573569，573538，573537，573536，573535，573362，79989，573604，573603，573600，573599，573598，573597，573552，573551，573550，573549，573528，573527，573617，573615，573612，573611，573610，573609，573608，573558，573556，573555，573554，573358，572829，572687，572676，161771，573624，573621，573594，573589，573588，573586，573584，573548，573546，573545，573544，573543，573542，573529，573268，573170，549795，573627，573626，572146，573625，573622，573591，573574，573571，573570，573541，573540，572125，572124，573539，573530，573258，543515，573632，572161，572160，573631，572159，572157，572151，573629，573628，572150，573593，573592，573581，573559，573557，573369，573312，573309，573303，572092，572090，572841，572694，572683，573637，573640
